,iso2,year,sex,age,cases
63,ES,2007,m,0 - 4,4
64,ES,2008,m,0 - 4,9
65,FI,2005,m,0 - 4,0
66,FI,2006,m,0 - 4,0
67,FI,2007,m,0 - 4,0
68,FI,2008,m,0 - 4,0
69,FM,2008,m,0 - 4,1
70,FR,2005,m,0 - 4,7
71,FR,2006,m,0 - 4,8
72,FR,2007,m,0 - 4,8
73,FR,2008,m,0 - 4,5
74,GB,2005,m,0 - 4,4
75,GB,2006,m,0 - 4,3
76,GB,2007,m,0 - 4,2
77,GB,2008,m,0 - 4,1
78,GE,2006,m,0 - 4,0
79,GE,2007,m,0 - 4,6
80,GE,2008,m,0 - 4,39
81,GM,2008,m,0 - 4,1
82,GR,2005,m,0 - 4,0
83,GR,2006,m,0 - 4,0
84,GR,2007,m,0 - 4,0
85,GR,2008,m,0 - 4,0
86,GT,2008,m,0 - 4,0
87,GU,2008,m,0 - 4,0
88,GY,2008,m,0 - 4,2
89,HK,2008,m,0 - 4,0
90,HN,2008,m,0 - 4,1
91,HR,2005,m,0 - 4,0
92,HR,2006,m,0 - 4,0
93,HR,2008,m,0 - 4,0
94,HT,2008,m,0 - 4,8
95,HU,2005,m,0 - 4,0
96,HU,2006,m,0 - 4,0
97,HU,2007,m,0 - 4,0
98,HU,2008,m,0 - 4,0
99,ID,2008,m,0 - 4,161
100,IE,2005,m,0 - 4,0
101,IE,2006,m,0 - 4,0
102,IE,2007,m,0 - 4,0
103,IE,2008,m,0 - 4,1
104,IL,2005,m,0 - 4,0
105,IL,2006,m,0 - 4,0
106,IL,2007,m,0 - 4,0
107,IL,2008,m,0 - 4,0
108,IQ,2008,m,0 - 4,2
109,IR,2008,m,0 - 4,0
110,IS,2005,m,0 - 4,0
111,IS,2006,m,0 - 4,0
112,IS,2007,m,0 - 4,0
113,IS,2008,m,0 - 4,0
114,IT,2005,m,0 - 4,7
115,IT,2006,m,0 - 4,6
116,IT,2007,m,0 - 4,1
117,IT,2008,m,0 - 4,1
118,JM,2008,m,0 - 4,2
119,JO,2008,m,0 - 4,0
120,JP,2008,m,0 - 4,0
121,KE,2008,m,0 - 4,40
122,KG,2005,m,0 - 4,0
123,KI,2008,m,0 - 4,0
124,KM,2008,m,0 - 4,0
125,KN,2008,m,0 - 4,0
126,KP,2008,m,0 - 4,11
127,KR,2008,m,0 - 4,3
128,KW,2008,m,0 - 4,0
129,KZ,2005,m,0 - 4,0
130,KZ,2007,m,0 - 4,3
131,KZ,2008,m,0 - 4,0
132,LB,2008,m,0 - 4,0
133,LC,2008,m,0 - 4,0
134,LR,2008,m,0 - 4,3
135,LS,2008,m,0 - 4,0
136,LT,2005,m,0 - 4,0
137,LT,2006,m,0 - 4,0
138,LT,2007,m,0 - 4,0
139,LT,2008,m,0 - 4,0
140,LU,2005,m,0 - 4,0
141,LU,2006,m,0 - 4,0
142,LU,2007,m,0 - 4,0
143,LU,2008,m,0 - 4,0
144,LV,2005,m,0 - 4,0
145,LV,2006,m,0 - 4,0
146,LV,2008,m,0 - 4,0
147,LY,2008,m,0 - 4,1
148,MA,2008,m,0 - 4,5
149,MD,2005,m,0 - 4,0
150,MD,2007,m,0 - 4,0
151,MD,2008,m,0 - 4,0
152,ME,2005,m,0 - 4,0
153,ME,2007,m,0 - 4,0
154,ME,2008,m,0 - 4,0
155,MG,2008,m,0 - 4,21
156,MH,2008,m,0 - 4,0
157,MK,2005,m,0 - 4,0
158,MK,2006,m,0 - 4,0
159,MK,2007,m,0 - 4,0
160,MK,2008,m,0 - 4,0
161,ML,2008,m,0 - 4,2
162,MO,2008,m,0 - 4,0
163,MP,2008,m,0 - 4,0
164,MT,2005,m,0 - 4,0
165,MT,2006,m,0 - 4,0
166,MT,2007,m,0 - 4,0
167,MT,2008,m,0 - 4,0
168,MU,2008,m,0 - 4,0
169,MX,2008,m,0 - 4,62
170,MY,2008,m,0 - 4,61
171,NC,2008,m,0 - 4,0
172,NL,2005,m,0 - 4,0
173,NL,2006,m,0 - 4,0
174,NL,2007,m,0 - 4,1
175,NL,2008,m,0 - 4,0
176,NO,2005,m,0 - 4,0
177,NO,2006,m,0 - 4,0
178,NO,2008,m,0 - 4,0
179,NR,2008,m,0 - 4,0
180,NZ,2008,m,0 - 4,0
181,OM,2008,m,0 - 4,0
182,PE,2008,m,0 - 4,10
183,PF,2008,m,0 - 4,0
184,PL,2005,m,0 - 4,2
185,PL,2006,m,0 - 4,1
186,PL,2007,m,0 - 4,0
187,PL,2008,m,0 - 4,3
188,PR,2008,m,0 - 4,0
189,PS,2008,m,0 - 4,0
190,PT,2005,m,0 - 4,3
191,PT,2006,m,0 - 4,4
192,PT,2007,m,0 - 4,1
193,PT,2008,m,0 - 4,1
194,PY,2008,m,0 - 4,3
195,QA,2008,m,0 - 4,0
196,RO,2005,m,0 - 4,10
197,RO,2006,m,0 - 4,9
198,RO,2008,m,0 - 4,8
199,RS,2005,m,0 - 4,0
200,RS,2006,m,0 - 4,2
201,RS,2007,m,0 - 4,0
202,RS,2008,m,0 - 4,0
203,RU,2008,m,0 - 4,1
204,SB,2008,m,0 - 4,0
205,SC,2008,m,0 - 4,0
206,SD,2008,m,0 - 4,40
207,SE,2005,m,0 - 4,0
208,SE,2006,m,0 - 4,0
209,SE,2007,m,0 - 4,0
210,SE,2008,m,0 - 4,0
211,SG,2008,m,0 - 4,0
212,SI,2005,m,0 - 4,0
213,SI,2006,m,0 - 4,0
214,SI,2007,m,0 - 4,0
215,SI,2008,m,0 - 4,0
216,SK,2005,m,0 - 4,0
217,SK,2006,m,0 - 4,1
218,SK,2007,m,0 - 4,0
219,SK,2008,m,0 - 4,0
220,SN,2008,m,0 - 4,2
221,SV,2008,m,0 - 4,0
222,SZ,2008,m,0 - 4,1
223,TJ,2005,m,0 - 4,0
224,TJ,2008,m,0 - 4,0
225,TM,2005,m,0 - 4,0
226,TM,2007,m,0 - 4,0
227,TO,2008,m,0 - 4,0
228,TR,2005,m,0 - 4,1
229,TR,2006,m,0 - 4,2
230,TR,2007,m,0 - 4,13
231,TR,2008,m,0 - 4,7
232,TT,2008,m,0 - 4,0
233,TV,2008,m,0 - 4,0
234,UA,2007,m,0 - 4,5
235,UG,2008,m,0 - 4,0
236,US,2008,m,0 - 4,4
237,UY,2008,m,0 - 4,0
238,UZ,2007,m,0 - 4,0
239,VE,2008,m,0 - 4,0
240,ZA,2008,m,0 - 4,344
241,AD,2005,m,5 - 14,0
242,AD,2006,m,5 - 14,0
243,AD,2008,m,5 - 14,0
244,AE,2008,m,5 - 14,0
245,AL,2005,m,5 - 14,0
246,AL,2006,m,5 - 14,4
247,AL,2007,m,5 - 14,0
248,AM,2005,m,5 - 14,2
249,AM,2006,m,5 - 14,0
250,AM,2007,m,5 - 14,1
251,AM,2008,m,5 - 14,0
252,AR,2008,m,5 - 14,58
253,AT,2005,m,5 - 14,0
254,AT,2006,m,5 - 14,1
255,AZ,2005,m,5 - 14,75
256,AZ,2006,m,5 - 14,5
257,BA,2005,m,5 - 14,1
258,BA,2006,m,5 - 14,0
259,BA,2007,m,5 - 14,0
260,BA,2008,m,5 - 14,0
261,BB,2008,m,5 - 14,0
262,BE,2005,m,5 - 14,0
263,BE,2006,m,5 - 14,1
264,BE,2008,m,5 - 14,1
265,BG,2005,m,5 - 14,9
266,BG,2008,m,5 - 14,1
267,BH,2008,m,5 - 14,0
268,BN,2008,m,5 - 14,0
269,BR,2008,m,5 - 14,183
270,BS,2008,m,5 - 14,0
271,BW,2008,m,5 - 14,23
272,BZ,2008,m,5 - 14,1
273,CA,2008,m,5 - 14,2
274,CH,2005,m,5 - 14,1
275,CH,2006,m,5 - 14,1
276,CH,2007,m,5 - 14,0
277,CH,2008,m,5 - 14,0
278,CM,2008,m,5 - 14,0
279,CY,2005,m,5 - 14,0
280,CY,2006,m,5 - 14,0
281,CY,2007,m,5 - 14,0
282,CY,2008,m,5 - 14,0
283,CZ,2005,m,5 - 14,0
284,CZ,2006,m,5 - 14,0
285,CZ,2007,m,5 - 14,0
286,CZ,2008,m,5 - 14,0
287,DE,2005,m,5 - 14,4
288,DE,2006,m,5 - 14,2
289,DE,2007,m,5 - 14,2
290,DE,2008,m,5 - 14,2
291,DK,2005,m,5 - 14,0
292,DK,2006,m,5 - 14,0
293,DK,2007,m,5 - 14,0
294,DK,2008,m,5 - 14,0
295,DM,2008,m,5 - 14,0
296,DO,2008,m,5 - 14,14
297,EE,2005,m,5 - 14,0
298,EE,2006,m,5 - 14,0
299,EE,2007,m,5 - 14,0
300,EE,2008,m,5 - 14,0
301,EG,2008,m,5 - 14,13
302,ES,2005,m,5 - 14,7
303,ES,2006,m,5 - 14,6
304,ES,2007,m,5 - 14,6
305,ES,2008,m,5 - 14,9
306,FI,2005,m,5 - 14,1
307,FI,2006,m,5 - 14,0
308,FI,2007,m,5 - 14,0
309,FI,2008,m,5 - 14,0
310,FM,2008,m,5 - 14,0
311,FR,2005,m,5 - 14,5
312,FR,2006,m,5 - 14,9
313,FR,2007,m,5 - 14,9
314,FR,2008,m,5 - 14,5
315,GB,2005,m,5 - 14,5
316,GB,2006,m,5 - 14,6
317,GB,2007,m,5 - 14,11
318,GB,2008,m,5 - 14,4
319,GE,2006,m,5 - 14,3
320,GE,2007,m,5 - 14,1
321,GE,2008,m,5 - 14,122
322,GM,2008,m,5 - 14,6
323,GR,2005,m,5 - 14,1
324,GR,2006,m,5 - 14,0
325,GR,2007,m,5 - 14,1
326,GR,2008,m,5 - 14,0
327,GT,2008,m,5 - 14,19
328,GU,2008,m,5 - 14,0
329,GY,2008,m,5 - 14,5
330,HK,2008,m,5 - 14,0
331,HN,2008,m,5 - 14,10
332,HR,2005,m,5 - 14,1
333,HR,2006,m,5 - 14,0
334,HR,2008,m,5 - 14,0
335,HT,2008,m,5 - 14,82
336,HU,2005,m,5 - 14,0
337,HU,2006,m,5 - 14,2
338,HU,2007,m,5 - 14,0
339,HU,2008,m,5 - 14,0
340,ID,2008,m,5 - 14,710
341,IE,2005,m,5 - 14,1
342,IE,2006,m,5 - 14,0
343,IE,2007,m,5 - 14,0
344,IE,2008,m,5 - 14,1
345,IL,2005,m,5 - 14,0
346,IL,2006,m,5 - 14,0
347,IL,2007,m,5 - 14,1
348,IL,2008,m,5 - 14,0
349,IQ,2008,m,5 - 14,16
350,IR,2008,m,5 - 14,11
351,IS,2005,m,5 - 14,0
352,IS,2006,m,5 - 14,0
353,IS,2007,m,5 - 14,0
354,IS,2008,m,5 - 14,0
355,IT,2005,m,5 - 14,1
356,IT,2006,m,5 - 14,1
357,IT,2007,m,5 - 14,2
358,IT,2008,m,5 - 14,12
359,JM,2008,m,5 - 14,1
360,JO,2008,m,5 - 14,0
361,JP,2008,m,5 - 14,2
362,KE,2008,m,5 - 14,411
363,KG,2005,m,5 - 14,1
364,KI,2008,m,5 - 14,2
365,KM,2008,m,5 - 14,2
366,KN,2008,m,5 - 14,0
367,KP,2008,m,5 - 14,430
368,KR,2008,m,5 - 14,18
369,KW,2008,m,5 - 14,0
370,KZ,2005,m,5 - 14,31
371,KZ,2007,m,5 - 14,11
372,KZ,2008,m,5 - 14,14
373,LB,2008,m,5 - 14,1
374,LC,2008,m,5 - 14,0
375,LR,2008,m,5 - 14,104
376,LS,2008,m,5 - 14,21
377,LT,2005,m,5 - 14,0
378,LT,2006,m,5 - 14,0
379,LT,2007,m,5 - 14,0
380,LT,2008,m,5 - 14,0
381,LU,2005,m,5 - 14,0
382,LU,2006,m,5 - 14,0
383,LU,2007,m,5 - 14,0
384,LU,2008,m,5 - 14,0
385,LV,2005,m,5 - 14,1
386,LV,2006,m,5 - 14,2
387,LV,2008,m,5 - 14,0
388,LY,2008,m,5 - 14,1
389,MA,2008,m,5 - 14,46
390,MD,2005,m,5 - 14,2
391,MD,2007,m,5 - 14,0
392,MD,2008,m,5 - 14,1
393,ME,2005,m,5 - 14,0
394,ME,2007,m,5 - 14,0
395,ME,2008,m,5 - 14,0
396,MG,2008,m,5 - 14,121
397,MH,2008,m,5 - 14,1
398,MK,2005,m,5 - 14,2
399,MK,2006,m,5 - 14,0
400,MK,2007,m,5 - 14,1
401,MK,2008,m,5 - 14,1
402,ML,2008,m,5 - 14,20
403,MO,2008,m,5 - 14,1
404,MP,2008,m,5 - 14,0
405,MT,2005,m,5 - 14,0
406,MT,2006,m,5 - 14,0
407,MT,2007,m,5 - 14,0
408,MT,2008,m,5 - 14,0
409,MU,2008,m,5 - 14,0
410,MX,2008,m,5 - 14,62
411,MY,2008,m,5 - 14,160
412,NC,2008,m,5 - 14,0
413,NL,2005,m,5 - 14,0
414,NL,2006,m,5 - 14,0
415,NL,2007,m,5 - 14,0
416,NL,2008,m,5 - 14,0
417,NO,2005,m,5 - 14,0
418,NO,2006,m,5 - 14,0
419,NO,2008,m,5 - 14,1
420,NR,2008,m,5 - 14,0
421,NZ,2008,m,5 - 14,0
422,OM,2008,m,5 - 14,0
423,PE,2008,m,5 - 14,74
424,PF,2008,m,5 - 14,1
425,PL,2005,m,5 - 14,1
426,PL,2006,m,5 - 14,0
427,PL,2007,m,5 - 14,2
428,PL,2008,m,5 - 14,3
429,PR,2008,m,5 - 14,0
430,PS,2008,m,5 - 14,0
431,PT,2005,m,5 - 14,2
432,PT,2006,m,5 - 14,3
433,PT,2007,m,5 - 14,3
434,PT,2008,m,5 - 14,1
435,PY,2008,m,5 - 14,8
436,QA,2008,m,5 - 14,1
437,RO,2005,m,5 - 14,26
438,RO,2006,m,5 - 14,21
439,RO,2008,m,5 - 14,14
440,RS,2005,m,5 - 14,3
441,RS,2006,m,5 - 14,4
442,RS,2007,m,5 - 14,0
443,RS,2008,m,5 - 14,1
444,RU,2008,m,5 - 14,11
445,SB,2008,m,5 - 14,3
446,SC,2008,m,5 - 14,0
447,SD,2008,m,5 - 14,277
448,SE,2005,m,5 - 14,0
449,SE,2006,m,5 - 14,0
450,SE,2007,m,5 - 14,0
451,SE,2008,m,5 - 14,0
452,SG,2008,m,5 - 14,0
453,SI,2005,m,5 - 14,0
454,SI,2006,m,5 - 14,0
455,SI,2007,m,5 - 14,0
456,SI,2008,m,5 - 14,0
457,SK,2005,m,5 - 14,0
458,SK,2006,m,5 - 14,3
459,SK,2007,m,5 - 14,0
460,SK,2008,m,5 - 14,0
461,SN,2008,m,5 - 14,65
462,SV,2008,m,5 - 14,8
463,SZ,2008,m,5 - 14,28
464,TJ,2005,m,5 - 14,8
465,TJ,2008,m,5 - 14,7
466,TM,2005,m,5 - 14,2
467,TM,2007,m,5 - 14,2
468,TO,2008,m,5 - 14,0
469,TR,2005,m,5 - 14,32
470,TR,2006,m,5 - 14,38
471,TR,2007,m,5 - 14,37
472,TR,2008,m,5 - 14,41
473,TT,2008,m,5 - 14,2
474,TV,2008,m,5 - 14,2
475,UA,2007,m,5 - 14,9
476,UG,2008,m,5 - 14,269
477,US,2008,m,5 - 14,7
478,UY,2008,m,5 - 14,1
479,UZ,2007,m,5 - 14,18
480,VE,2008,m,5 - 14,18
481,ZA,2008,m,5 - 14,1519
482,AD,2005,m,,0
483,AD,2006,m,,0
484,AD,2008,m,,0
485,AE,2008,m,,0
486,AL,2005,m,,0
487,AL,2006,m,,5
488,AL,2007,m,,0
489,AM,2005,m,,3
490,AM,2006,m,,0
491,AM,2007,m,,1
492,AM,2008,m,,0
493,AR,2008,m,,69
494,AT,2005,m,,1
495,AT,2006,m,,1
496,AZ,2005,m,,77
497,AZ,2006,m,,6
498,BA,2005,m,,1
499,BA,2006,m,,0
500,BA,2007,m,,0
501,BA,2008,m,,0
502,BB,2008,m,,0
503,BE,2005,m,,1
504,BE,2006,m,,4
505,BE,2008,m,,3
506,BG,2005,m,,9
507,BG,2008,m,,2
508,BH,2008,m,,0
509,BN,2008,m,,0
510,BR,2008,m,,298
511,BS,2008,m,,0
512,BW,2008,m,,27
513,BZ,2008,m,,1
514,CA,2008,m,,2
515,CH,2005,m,,1
516,CH,2006,m,,1
517,CH,2007,m,,0
518,CH,2008,m,,0
519,CM,2008,m,,108
520,CY,2005,m,,0
521,CY,2006,m,,0
522,CY,2007,m,,0
523,CY,2008,m,,0
524,CZ,2005,m,,0
525,CZ,2006,m,,0
526,CZ,2007,m,,0
527,CZ,2008,m,,0
528,DE,2005,m,,6
529,DE,2006,m,,2
530,DE,2007,m,,2
531,DE,2008,m,,2
532,DK,2005,m,,0
533,DK,2006,m,,0
534,DK,2007,m,,0
535,DK,2008,m,,0
536,DM,2008,m,,0
537,DO,2008,m,,16
538,EE,2005,m,,0
539,EE,2006,m,,0
540,EE,2007,m,,0
541,EE,2008,m,,0
542,EG,2008,m,,13
543,ES,2005,m,,13
544,ES,2006,m,,18
545,ES,2007,m,,10
546,ES,2008,m,,18
547,FI,2005,m,,1
548,FI,2006,m,,0
549,FI,2007,m,,0
550,FI,2008,m,,0
551,FM,2008,m,,1
552,FR,2005,m,,12
553,FR,2006,m,,17
554,FR,2007,m,,17
555,FR,2008,m,,10
556,GB,2005,m,,9
557,GB,2006,m,,9
558,GB,2007,m,,13
559,GB,2008,m,,5
560,GE,2006,m,,3
561,GE,2007,m,,7
562,GE,2008,m,,161
563,GM,2008,m,,7
564,GR,2005,m,,1
565,GR,2006,m,,0
566,GR,2007,m,,1
567,GR,2008,m,,0
568,GT,2008,m,,19
569,GU,2008,m,,0
570,GY,2008,m,,7
571,HK,2008,m,,0
572,HN,2008,m,,11
573,HR,2005,m,,1
574,HR,2006,m,,0
575,HR,2008,m,,0
576,HT,2008,m,,90
577,HU,2005,m,,0
578,HU,2006,m,,2
579,HU,2007,m,,0
580,HU,2008,m,,0
581,ID,2008,m,,871
582,IE,2005,m,,1
583,IE,2006,m,,0
584,IE,2007,m,,0
585,IE,2008,m,,2
586,IL,2005,m,,0
587,IL,2006,m,,0
588,IL,2007,m,,1
589,IL,2008,m,,0
590,IQ,2008,m,,18
591,IR,2008,m,,11
592,IS,2005,m,,0
593,IS,2006,m,,0
594,IS,2007,m,,0
595,IS,2008,m,,0
596,IT,2005,m,,8
597,IT,2006,m,,7
598,IT,2007,m,,3
599,IT,2008,m,,13
600,JM,2008,m,,3
601,JO,2008,m,,0
602,JP,2008,m,,2
603,KE,2008,m,,451
604,KG,2005,m,,1
605,KI,2008,m,,2
606,KM,2008,m,,2
607,KN,2008,m,,0
608,KP,2008,m,,441
609,KR,2008,m,,21
610,KW,2008,m,,0
611,KZ,2005,m,,31
612,KZ,2007,m,,14
613,KZ,2008,m,,14
614,LB,2008,m,,1
615,LC,2008,m,,0
616,LR,2008,m,,107
617,LS,2008,m,,21
618,LT,2005,m,,0
619,LT,2006,m,,0
620,LT,2007,m,,0
621,LT,2008,m,,0
622,LU,2005,m,,0
623,LU,2006,m,,0
624,LU,2007,m,,0
625,LU,2008,m,,0
626,LV,2005,m,,1
627,LV,2006,m,,2
628,LV,2008,m,,0
629,LY,2008,m,,2
630,MA,2008,m,,51
631,MD,2005,m,,2
632,MD,2007,m,,0
633,MD,2008,m,,1
634,ME,2005,m,,0
635,ME,2007,m,,0
636,ME,2008,m,,0
637,MG,2008,m,,142
638,MH,2008,m,,1
639,MK,2005,m,,2
640,MK,2006,m,,0
641,MK,2007,m,,1
642,MK,2008,m,,1
643,ML,2008,m,,22
644,MO,2008,m,,1
645,MP,2008,m,,0
646,MT,2005,m,,0
647,MT,2006,m,,0
648,MT,2007,m,,0
649,MT,2008,m,,0
650,MU,2008,m,,0
651,MX,2008,m,,124
652,MY,2008,m,,221
653,NC,2008,m,,0
654,NL,2005,m,,0
655,NL,2006,m,,0
656,NL,2007,m,,1
657,NL,2008,m,,0
658,NO,2005,m,,0
659,NO,2006,m,,0
660,NO,2008,m,,1
661,NR,2008,m,,0
662,NZ,2008,m,,0
663,OM,2008,m,,0
664,PE,2008,m,,84
665,PF,2008,m,,1
666,PL,2005,m,,3
667,PL,2006,m,,1
668,PL,2007,m,,2
669,PL,2008,m,,6
670,PR,2008,m,,0
671,PS,2008,m,,0
672,PT,2005,m,,5
673,PT,2006,m,,7
674,PT,2007,m,,4
675,PT,2008,m,,2
676,PY,2008,m,,11
677,QA,2008,m,,1
678,RO,2005,m,,36
679,RO,2006,m,,30
680,RO,2008,m,,22
681,RS,2005,m,,3
682,RS,2006,m,,6
683,RS,2007,m,,0
684,RS,2008,m,,1
685,RU,2008,m,,12
686,SB,2008,m,,3
687,SC,2008,m,,0
688,SD,2008,m,,317
689,SE,2005,m,,0
690,SE,2006,m,,0
691,SE,2007,m,,0
692,SE,2008,m,,0
693,SG,2008,m,,0
694,SI,2005,m,,0
695,SI,2006,m,,0
696,SI,2007,m,,0
697,SI,2008,m,,0
698,SK,2005,m,,0
699,SK,2006,m,,4
700,SK,2007,m,,0
701,SK,2008,m,,0
702,SN,2008,m,,67
703,SV,2008,m,,8
704,SZ,2008,m,,29
705,TJ,2005,m,,8
706,TJ,2008,m,,7
707,TM,2005,m,,2
708,TM,2007,m,,2
709,TO,2008,m,,0
710,TR,2005,m,,33
711,TR,2006,m,,40
712,TR,2007,m,,50
713,TR,2008,m,,48
714,TT,2008,m,,2
715,TV,2008,m,,2
716,UA,2007,m,,14
717,UG,2008,m,,269
718,US,2008,m,,11
719,UY,2008,m,,1
720,UZ,2007,m,,18
721,VE,2008,m,,18
722,ZA,2008,m,,1863
723,AD,2005,m,15 - 24,0
724,AD,2006,m,15 - 24,1
725,AD,2008,m,15 - 24,0
726,AE,2008,m,15 - 24,6
727,AL,2005,m,15 - 24,26
728,AL,2006,m,15 - 24,24
729,AL,2007,m,15 - 24,19
730,AM,2005,m,15 - 24,170
731,AM,2006,m,15 - 24,113
732,AM,2007,m,15 - 24,81
733,AM,2008,m,15 - 24,53
734,AR,2008,m,15 - 24,633
735,AT,2005,m,15 - 24,32
736,AT,2006,m,15 - 24,9
737,AZ,2005,m,15 - 24,109
738,AZ,2006,m,15 - 24,241
739,BA,2005,m,15 - 24,22
740,BA,2006,m,15 - 24,40
741,BA,2007,m,15 - 24,0
742,BA,2008,m,15 - 24,20
743,BB,2008,m,15 - 24,0
744,BE,2005,m,15 - 24,26
745,BE,2006,m,15 - 24,26
746,BE,2008,m,15 - 24,23
747,BG,2005,m,15 - 24,98
748,BG,2008,m,15 - 24,80
749,BH,2008,m,15 - 24,17
750,BN,2008,m,15 - 24,10
751,BR,2008,m,15 - 24,4436
752,BS,2008,m,15 - 24,2
753,BW,2008,m,15 - 24,254
754,BZ,2008,m,15 - 24,8
755,CA,2008,m,15 - 24,39
756,CH,2005,m,15 - 24,10
757,CH,2006,m,15 - 24,11
758,CH,2007,m,15 - 24,11
759,CH,2008,m,15 - 24,8
760,CM,2008,m,15 - 24,1613
761,CY,2005,m,15 - 24,3
762,CY,2006,m,15 - 24,0
763,CY,2007,m,15 - 24,2
764,CY,2008,m,15 - 24,1
765,CZ,2005,m,15 - 24,8
766,CZ,2006,m,15 - 24,6
767,CZ,2007,m,15 - 24,14
768,CZ,2008,m,15 - 24,7
769,DE,2005,m,15 - 24,59
770,DE,2006,m,15 - 24,78
771,DE,2007,m,15 - 24,116
772,DE,2008,m,15 - 24,40
773,DK,2005,m,15 - 24,12
774,DK,2006,m,15 - 24,8
775,DK,2007,m,15 - 24,6
776,DK,2008,m,15 - 24,8
777,DM,2008,m,15 - 24,0
778,DO,2008,m,15 - 24,322
779,EE,2005,m,15 - 24,9
780,EE,2006,m,15 - 24,4
781,EE,2007,m,15 - 24,6
782,EE,2008,m,15 - 24,3
783,EG,2008,m,15 - 24,581
784,ES,2005,m,15 - 24,166
785,ES,2006,m,15 - 24,142
786,ES,2007,m,15 - 24,184
787,ES,2008,m,15 - 24,179
788,FI,2005,m,15 - 24,5
789,FI,2006,m,15 - 24,5
790,FI,2007,m,15 - 24,4
791,FI,2008,m,15 - 24,3
792,FM,2008,m,15 - 24,9
793,FR,2005,m,15 - 24,127
794,FR,2006,m,15 - 24,137
795,FR,2007,m,15 - 24,120
796,FR,2008,m,15 - 24,73
797,GB,2005,m,15 - 24,135
798,GB,2006,m,15 - 24,173
799,GB,2007,m,15 - 24,183
800,GB,2008,m,15 - 24,125
801,GE,2006,m,15 - 24,315
802,GE,2007,m,15 - 24,277
803,GE,2008,m,15 - 24,710
804,GM,2008,m,15 - 24,151
805,GR,2005,m,15 - 24,14
806,GR,2006,m,15 - 24,11
807,GR,2007,m,15 - 24,21
808,GR,2008,m,15 - 24,5
809,GT,2008,m,15 - 24,220
810,GU,2008,m,15 - 24,0
811,GY,2008,m,15 - 24,29
812,HK,2008,m,15 - 24,59
813,HN,2008,m,15 - 24,254
814,HR,2005,m,15 - 24,24
815,HR,2006,m,15 - 24,20
816,HR,2008,m,15 - 24,15
817,HT,2008,m,15 - 24,1137
818,HU,2005,m,15 - 24,6
819,HU,2006,m,15 - 24,10
820,HU,2007,m,15 - 24,7
821,HU,2008,m,15 - 24,12
822,ID,2008,m,15 - 24,15339
823,IE,2005,m,15 - 24,6
824,IE,2006,m,15 - 24,8
825,IE,2007,m,15 - 24,26
826,IE,2008,m,15 - 24,9
827,IL,2005,m,15 - 24,5
828,IL,2006,m,15 - 24,3
829,IL,2007,m,15 - 24,9
830,IL,2008,m,15 - 24,14
831,IQ,2008,m,15 - 24,348
832,IR,2008,m,15 - 24,292
833,IS,2005,m,15 - 24,0
834,IS,2006,m,15 - 24,0
835,IS,2007,m,15 - 24,0
836,IS,2008,m,15 - 24,0
837,IT,2005,m,15 - 24,93
838,IT,2006,m,15 - 24,113
